Rank,Name,Score,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
1,Cowboy Bebop,10000,TV Seires,Anime,Completed,"Action, Comedy, Neo-noir",26/26,YES,NO
2,Berserk,9900,Comic,Manga,On Hold,"Action, Horror, psychological",359/364,YES,NO
3,Fate/Zero,9850,TV Seires,Anime,Completed,"Action, psychological",25/25,YES,NO
4,Harry Potter and the Prince of Slytherin,9800,Book,Fanfiction,Reading/Watching,"Drama, Fantacy",149/149,NO,NO
5,Code Geass,9700,TV Seires,Anime,Completed,"Action, Sci-Fi",50/50,YES,NO
6,End of Evangelion,9600,Movie,Anime,Completed,"Action, Horror, Sci-Fi, Thiller, psychological",1/1,YES,NO
7,Psycho Pass,9500,TV Seires,Anime,Completed,"Action, Sci-Fi, Thiller",22/22,YES,NO
8,Shingeki no Kyojin,9400,TV Seires,Anime,Completed,"Action, Fantacy, Thiller, psychological",7/7,YES,NO
9,The Wire,9350,TV Seires,American,Completed,"Drama, Thiller",,YES,NO
10,Death Note,9300,TV Seires,Anime,Completed,"Thiller, psychological",,YES,NO
11,Maquia: When the Promised Flower Blooms / Sayonara no Asa ni Yakusoku no Hana wo Kazarou,9250,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
12,Oldboy,9225,Movie,South Korean,Completed,"Action, Thiller, psychological",,YES,NO
13,Utsuro no Hako to Zero no Maria,9200,Book,Light novel,Completed,"Thiller, psychological",,YES,NO
14,Naruto,9150,TV Seires,Anime,Completed,"Action, Comedy, Drama, Fantacy",,YES,NO
15,Yojouhan Shinwa Taikei,9100,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
16,Fargo,9000,TV Seires,American,On Hold,"Action, Thiller, psychological",,YES,NO
17,True Detective,8950,TV Seires,American,On Hold,"Drama, Thiller, psychological",,YES,NO
18,Your Name,8900,Movie,Anime,Completed,"Comedy, Drama, Fantacy",,YES,NO
19,Shinsekai yori,8800,TV Seires,Anime,Completed,"Fantacy, Sci-Fi, Thiller, psychological",,YES,NO
20,Dark,8750,TV Seires,German,Completed,Sci-Fi,,YES,NO
21,Steins Gate,8700,TV Seires,Anime,Completed,"Drama, Sci-Fi, psychological",,YES,
22,Ginga Eiyuu Densetsu,8650,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
23,Vinland Saga,8625,Comic,Manga,On Hold,"Drama, Fantacy, Thiller",,NO,NO
24,Death Parade,8600,TV Seires,Anime,Completed,"Drama, Sci-Fi, Thiller, psychological",,YES,NO
25,Memento,8550,Movie,American,Completed,"Thiller, psychological",,YES,NO
,Little Prince,8500,Movie,French,Completed,Fantacy,,YES,NO
,Black Friday,8500,Movie,Indian,Completed,"Crime, Mystery, Thiller",,YES,NO
26,Clannad: After Story,8500,TV Seires,Anime,Completed,"Drama, Fantacy",,YES,NO
27,Bastard,8400,Comic,Manhwa/Webtoon,Completed,"Horror, Thiller, psychological",,YES,NO
28,Interstellar,8375,Movie,American,Completed,"Sci-Fi, Thiller",,YES,NO
29,1984,8350,Book,Novel,Completed,"Sci-Fi, psychological",,YES,NO
30,Sweet home,8300,Comic,Manhwa/Webtoon,Completed,"Horror, Thiller, psychological",,YES,NO
31,Inception,8250,Movie,American,Completed,"Sci-Fi, Thiller",,YES,NO
32,To be a Slytherin,8225,Book,Fanfiction,Completed,"Drama, Fantacy",,YES,NO
33,Tower of God,8200,Comic,Manhwa/Webtoon,On Hold,"Drama, Fantacy, Thiller",,NO,NO
34,Shutter Island,8100,Movie,American,Completed,"Thiller, psychological",,YES,NO
35,Donny Darko,8000,Movie,American,Completed,psychological,,YES,NO
36,Eternal Sunshine of the Spotless,7900,Movie,American,Completed,"Drama, Sci-Fi",,YES,NO
,Sonny Boy,7878,TV Seires,Anime,Completed,"Drama, Fantacy",,,
37,The Usual Suspects,7850,Movie,American,Completed,"Crime, Mystery, Thiller",,YES,NO
39,Accession,7825,Book,Fanfiction,Reading/Watching,"Action, Fantacy",,NO,NO
38,Harry Potter and the Method of Rationality,7825,Book,Fanfiction,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
40,Fight Club,7800,Movie,American,Completed,"Black Comedy, psychological",,YES,NO
79,Unordinary,7800,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Harry Potter all,7750,Movie,American,Completed,,,YES,NO
88,The Boxer,7725,Comic,Manhwa/Webtoon,Reading/Watching,"Action, Drama",,NO,NO
41,I want to eat your pancreas /Kimi no Suizou wo Tabetai,7700,Movie,Anime,Completed,Drama,,YES,NO
42,The Shawshank Redemption,7675,Movie,American,Completed,Drama,,YES,NO
43,5 Cm per second / Byousoku 5 Centimeter,7650,Movie,Anime,Completed,Drama,,YES,NO
44,The Sixth Sense,7600,Movie,American,Completed,"Drama, Horror, Thiller",,YES,NO
46,Se7en,7550,Movie,American,Completed,"Crime, Thiller, psychological",,YES,NO
45,Gone Girl,7550,Movie,American,Completed,"Thiller, psychological",,YES,NO
47,Cowboy Bebop: Movie,7525,Movie,Anime,Completed,"Action, Neo-noir, Sci-Fi",,YES,NO
,Severance,7500,TV Seires,American,Completed,"Sci-Fi, psychological",,NO,NO
48,Forgotten,7500,Movie,South Korean,Completed,"Drama, Horror, Thiller",,YES,NO
49,A Silent Voice/Koe no Katachi,7400,Movie,Anime,Completed,Drama,,YES,NO
63,One Piece,7350,Comic,Manga,On Hold,"Action, Fantacy",,NO,NO
50,Made in Abyss : Movie,7300,Movie,Anime,Completed,"Fantacy, Horror",,YES,NO
51,Classroom of elite,7275,Book,Light novel,Reading/Watching,psychological,,NO,NO
52,Prisoners,7250,Movie,American,Completed,"Crime, Drama, Thiller",,YES,NO
53,The Prestige,7200,Movie,American,Completed,"Mystery, Sci-Fi",,YES,NO
54,Fate/stay night: Heaven's Feel II. Lost Butterfly,7150,Movie,Anime,Completed,"Fantacy, Thiller",,YES,NO
55,Source Code,7100,Movie,American,Completed,"Action, Sci-Fi",,YES,NO
,Gravity Falls,7000,TV Seires,American,Completed,"Comedy, Fantacy, Mystery",,YES,
56,X-Men: First Class,7000,Movie,American,Completed,"Action, Fantacy",,YES,NO
57,In Bruges,6975,Movie,British,Completed,Black Comedy,,YES,NO
58,Thank You For Smoking,6966,Movie,American,Completed,Black Comedy,,YES,NO
59,In the Loop,6958,Movie,British,Completed,Black Comedy,,YES,NO
60,Harry Potter,6954,Book,Novel,Completed,"Comedy, Drama, Fantacy",,YES,NO
61,The Silence of the Lambs,6950,Movie,American,Completed,"Crime, Thiller, psychological",,YES,NO
62,About Time,6900,Movie,British,Completed,"Romance, Sci-Fi",,YES,NO
63,Deadpool 2,6800,Movie,American,Completed,Black Comedy,,YES,NO
64,Logan,6750,Movie,American,Completed,"Action, Fantacy",,YES,NO
65,Deadpool,6700,Movie,American,Completed,Black Comedy,,YES,NO
66,Burn After Reading,6600,Movie,American,Completed,Black Comedy,,YES,NO
67,Cape Fear,6500,Movie,American,Completed,"Action, Thiller",,YES,NO
68,Confessions,6450,Movie,Japanese,Completed,"Crime, psychological",,YES,NO
69,Promising.Young.Woman,6425,Movie,American,Completed,,,YES,NO
,Rick and Morty,6412,TV Seires,American,On Hold,"Black Comedy, Sci-Fi",,NO,NO
70,Captain America: Civil War,6400,Movie,American,Completed,"Crime, Drama",,YES,NO
71,Primer,6300,Movie,American,Completed,Sci-Fi,,YES,NO
72,Evangelio 2.0,6250,Movie,Anime,Completed,"Drama, Sci-Fi, psychological",,YES,NO
73,Back to the Future,6200,Movie,American,Completed,"Comedy, Sci-Fi",,YES,NO
74,Kizumonogatari III,6150,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
,Traveler,6100,Book,Novel,Completed,Sci-Fi,,YES,YES
75,Hotarubi no Mori e,6100,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
,Fate/Stay Night: Heaven's Feel - I. Presage Flower,6075,Movie,Anime,Completed,,,YES,NO
,Black Swan,6050,Movie,American,Completed,,,YES,NO
76,And Then There Were None,6050,Book,Novel,Completed,"Crime, Mystery",,YES,YES
77,I am still here,6025,Book,Fanfiction,Completed,"Fantacy, psychological",,NO,YES
78,Predestination,6000,Movie,American,Completed,"Action, Fantacy",,YES,NO
,Hunt For The Wilderpeople,5987,Movie,New Zealand,Completed,,,YES,NO
,Boruto Movie,5975,Movie,Anime,Completed,,,YES,NO
79,The Rise of Darkrai,5950,Movie,Anime,Completed,"Action, Fantacy",,YES,NO
,Back to the Future Part II,5925,Movie,American,Completed,,,YES,NO
,Strangers in Boston,5900,Book,Novel,Completed,"Fantacy, Sci-Fi",,YES,YES
80,Spider-Man: Homecoming,5900,Movie,American,Completed,"Action, Comedy",,YES,NO
,Dodging Prison and Stealing Witches,5800,Book,Fanfiction,Reading/Watching,Fantacy,,NO,
,Code Geass Movie,5800,Movie,Anime,Completed,,,YES,NO
,Evangelio 1.0,5700,Movie,Anime,Completed,,,YES,NO
81,Oh God Not Again,5700,Book,Fanfiction,Completed,Black Comedy,,YES,YES
,Harry Potter and Ashes of Chaos,5650,Book,Fanfiction,Dropped,Fantacy,,NO,YES
,Steins Gate: Movie,5600,Movie,Anime,Completed,,,YES,NO
82,A Precise Note,5600,Book,Fanfiction,Reading/Watching,"Action, Sci-Fi",,NO,NO
,Dune,5550,Book,American,Completed,"Fantacy, Sci-Fi",,YES,YES
83,Precognition,5500,Book,Fanfiction,Reading/Watching,Drama,40/44,NO,NO
,https://www.goodreads.com/en/book/show/34403860rcane accession,5400,Book,American,Dropped,Fantacy,,NO,NO
,Legend,5350,Book,Fanfiction,Dropped,"Action, Fantacy",,NO,NO
,A Black Comedy,5300,Book,Fanfiction,Completed,Comedy,,YES,YES
,Solo Leveling,5200,Book,Light novel,Completed,"Action, Fantacy",,YES,YES
,"My Trans-Dimentional, Overpowered Protagonist, Harem Comedy is Wrong!  ",5150,Book,Fanfiction,Dropped,Fantacy,,NO,YES
,The Odds were never in my favour,5100,Book,Fanfiction,Dropped,Action,,NO,YES
,Overlord,5000,Book,Light novel,Dropped,Fantacy,,NO,YES
,Omnicient Reader,4900,Book,Light novel,Dropped,Fantacy,,YES,NO
84,Made in Abyss,87,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
85,3-gatsu no lion,86,TV Seires,Anime,Reading/Watching,"Drama, psychological",,NO,NO
87,Mahou Shoujo Madoka★Magica,85,TV Seires,Anime,Completed,"Drama, Fantacy, Horror, psychological",,YES,NO
86,Hyouka,85,TV Seires,Anime,Completed,"Comedy, Drama, psychological",,YES,NO
89,Love Death + Robot,83,TV Seires,American,Completed,"Action, Drama, Horror, Sci-Fi, Thiller, psychological",,YES,NO
58,Trigun,83,TV Seires,Anime,Completed,"Action, Comedy, Neo-noir, Sci-Fi",,YES,NO
59,Zankyou no Terror,83,TV Seires,Anime,Completed,Thiller,,YES,NO
55,Samurai Champloo,83,TV Seires,Anime,Completed,"Action, Neo-noir",,YES,NO
53,NHK ni Youkoso!,83,TV Seires,Anime,Completed,"Drama, psychological",,YES,NO
90,Mob Psycho 100,83,TV Seires,Anime,Completed,"Action, Comedy, Drama, Fantacy",,YES,NO
54,Promised Neverland,83,Comic,Manga,Dropped,"Action, Sci-Fi, Thiller, psychological",,YES,NO
