,Unnamed: 0.1,Unnamed: 0,Rank,Name,Rating,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
0,0,0,1.0,Cowboy Bebop,1550.0,TV Seires,Anime,Completed,"Action, Comedy, Neo-noir",26/26,YES,NO
1,1,1,2.0,Berserk,1550.0,Comic,Manga,On Hold,"Action, Horror, psychological",359/364,YES,NO
2,2,2,3.0,Fate/Zero,1500.0,TV Seires,Anime,Completed,"Action, psychological",25/25,YES,NO
3,3,3,4.0,Harry Potter and the Prince of Slytherin,1500.0,Book,Fanfiction,Reading/Watching,"Drama, Fantacy",149/149,NO,NO
4,4,4,5.0,Code Geass,1500.0,TV Seires,Anime,Completed,"Action, Sci-Fi",50/50,YES,NO
5,5,5,6.0,End of Evangelion,1500.0,Movie,Anime,Completed,"Action, Horror, Sci-Fi, Thiller, psychological",1/1,YES,NO
6,6,6,7.0,Psycho Pass,1500.0,TV Seires,Anime,Completed,"Action, Sci-Fi, Thiller",22/22,YES,NO
7,7,7,8.0,Shingeki no Kyojin,1550.0,TV Seires,Anime,Completed,"Action, Fantacy, Thiller, psychological",7/7,YES,NO
8,8,8,9.0,The Wire,1500.0,TV Seires,American,Completed,"Drama, Thiller",,YES,NO
9,9,9,10.0,Death Note,1500.0,TV Seires,Anime,Completed,"Thiller, psychological",,YES,NO
10,10,10,11.0,Maquia: When the Promised Flower Blooms / Sayonara no Asa ni Yakusoku no Hana wo Kazarou,1450.0,Movie,Anime,Completed,"Drama, Fantacy",,YES,NO
11,11,11,12.0,Oldboy,1500.0,Movie,South Korean,Completed,"Action, Thiller, psychological",,YES,NO
12,12,12,13.0,Utsuro no Hako to Zero no Maria,1500.0,Book,Light novel,Completed,"Thiller, psychological",,YES,NO
13,13,13,14.0,Naruto,1550.0,TV Seires,Anime,Completed,"Action, Comedy, Drama, Fantacy",,YES,NO
14,14,14,15.0,Yojouhan Shinwa Taikei,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
15,15,15,16.0,Fargo,1550.0,TV Seires,American,On Hold,"Action, Thiller, psychological",,YES,NO
16,16,16,17.0,True Detective,1550.0,TV Seires,American,On Hold,"Drama, Thiller, psychological",,YES,NO
17,17,17,18.0,Your Name,1500.0,Movie,Anime,Completed,"Comedy, Drama, Fantacy",,YES,NO
18,18,18,19.0,Shinsekai yori,1500.0,TV Seires,Anime,Completed,"Fantacy, Sci-Fi, Thiller, psychological",,YES,NO
19,19,19,20.0,Dark,1500.0,TV Seires,German,Completed,Sci-Fi,,YES,NO
20,20,20,21.0,Steins Gate,1550.0,TV Seires,Anime,Completed,"Drama, Sci-Fi, psychological",,YES,
21,21,21,22.0,Ginga Eiyuu Densetsu,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
22,22,22,23.0,Vinland Saga,1550.0,Comic,Manga,On Hold,"Drama, Fantacy, Thiller",,NO,NO
23,23,23,24.0,Death Parade,1500.0,TV Seires,Anime,Completed,"Drama, Sci-Fi, Thiller, psychological",,YES,NO
24,24,24,25.0,Memento,1500.0,Movie,American,Completed,"Thiller, psychological",,YES,NO
25,25,25,,Little Prince,1500.0,Movie,French,Completed,Fantacy,,YES,NO
26,26,26,,Black Friday,1500.0,Movie,Indian,Completed,"Crime, Mystery, Thiller",,YES,NO
27,27,27,26.0,Clannad: After Story,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy",,YES,NO
28,28,28,27.0,Bastard,1500.0,Comic,Manhwa/Webtoon,Completed,"Horror, Thiller, psychological",,YES,NO
29,29,29,28.0,Interstellar,1500.0,Movie,American,Completed,"Sci-Fi, Thiller",,YES,NO
30,30,30,29.0,1984,1500.0,Book,Novel,Completed,"Sci-Fi, psychological",,YES,NO
31,31,31,30.0,Sweet home,1500.0,Comic,Manhwa/Webtoon,Completed,"Horror, Thiller, psychological",,YES,NO
32,32,32,31.0,Inception,1500.0,Movie,American,Completed,"Sci-Fi, Thiller",,YES,NO
33,33,33,32.0,To be a Slytherin,1500.0,Book,Fanfiction,Completed,"Drama, Fantacy",,YES,NO
34,34,34,33.0,Tower of God,1500.0,Comic,Manhwa/Webtoon,On Hold,"Drama, Fantacy, Thiller",,NO,NO
35,35,35,34.0,Shutter Island,1500.0,Movie,American,Completed,"Thiller, psychological",,YES,NO
36,36,36,35.0,Donny Darko,1550.0,Movie,American,Completed,psychological,,YES,NO
37,37,37,36.0,Eternal Sunshine of the Spotless,1500.0,Movie,American,Completed,"Drama, Sci-Fi",,YES,NO
38,38,38,,Sonny Boy,1500.0,TV Seires,Anime,Completed,"Drama, Fantacy",,,
39,39,39,37.0,The Usual Suspects,1450.0,Movie,American,Completed,"Crime, Mystery, Thiller",,YES,NO
40,40,40,39.0,Accession,1500.0,Book,Fanfiction,Reading/Watching,"Action, Fantacy",,NO,NO
41,41,41,38.0,Harry Potter and the Method of Rationality,1500.0,Book,Fanfiction,Completed,"Drama, Fantacy, Sci-Fi",,YES,NO
42,42,42,40.0,Fight Club,1500.0,Movie,American,Completed,"Black Comedy, psychological",,YES,NO
